Year,RBD,DGV_RBD,Name,Commune_code,Commune,Type,Condensed_Type,Location,Status,Tuition_cost,Monthly_cost,Speciality_01,Speciality_02,Speciality_03,Speciality_04,Speciality_05,Speciality_06,Speciality_07,Speciality_08
2019,1,9,Liceo Politecnico Arica,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Maritima,Tecnica,Comercial,Industrial,,,,
2019,3,5,Esc. Pedro Vicente Gutierrez Torres,15101,Arica,Municipal DAEM,Municipal,Rural,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,4,3,Liceo Octavio Palma Perez,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,5,1,Jovina Naranjo Fernandez,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,7,8,L. Poli. Antonio Varas De La Barra,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Tecnica,Comercial,Industrial,,,,,
2019,8,6,Colegio Integrado Eduardo Frei Montalva,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,15,9,Liceo Artistico Dr. Juan Noe Crevani,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,25,6,Colegio Centenario De Arica,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,28,0,Escuela Ricardo Silva Arriagada,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,30,2,Escuela Dr. Ricardo Olea Guerra,15101,Arica,Municipal DAEM,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Especial,,,,,,,
2019,32,9,Liceo Agricola Jose Abelardo Nunez M.,15101,Arica,Municipal DAEM,Municipal,Rural,Funcionando,Gratuito,Gratuito,Agricola,,,,,,,
2019,45,0,Colegio Italiano Santa Ana,15101,Arica,Particular Subvencionado,Particular Subvencionado,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,50,7,Colegio Adventista De Arica,15101,Arica,Particular Subvencionado,Particular Subvencionado,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,52,3,Liceo Domingo Santa Maria,15101,Arica,Particular Subvencionado,Particular Subvencionado,Urbano,Funcionando,Gratuito,Gratuito,Maritima,Cientifico Humanista,Comercial,Especial,,,,
2019,56,6,Colegio San Marcos De Arica,15101,Arica,Particular Subvencionado,Particular Subvencionado,Urbano,Funcionando,Gratuito,$50.001 a $100.000,Cientifico Humanista,,,,,,,
2019,59,0,Colegio San Jorge,15101,Arica,Particular Pagado,Particular Pagado,Urbano,Funcionando,Mas de $100.000,Mas de $100.000,Cientifico Humanista,,,,,,,
2019,60,4,Colegio Aleman De Arica,15101,Arica,Particular Subvencionado,Particular Subvencionado,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,67,1,Abraham Lincoln School,15101,Arica,Particular Subvencionado,Particular Subvencionado,Urbano,Funcionando,Gratuito,$25.001 a $50.000,Cientifico Humanista,,,,,,,
2019,69,8,Junior College,15101,Arica,Particular Pagado,Particular Pagado,Urbano,Funcionando,Mas de $100.000,Mas de $100.000,Cientifico Humanista,,,,,,,
2019,72,8,Liceo Valle De Codpa,15102,Camarones,Municipal DAEM,Municipal,Rural,Funcionando,Gratuito,Gratuito,Agricola,,,,,,,
2019,78,7,Liceo Granaderos,15201,Putre,Municipal DAEM,Municipal,Rural,Funcionando,Gratuito,Gratuito,Agricola,,,,,,,
2019,97,3,Inst. Com. De Iquique Baldomero Wolnitzky,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,$1.000 a $10.000,Gratuito,Maritima,Comercial,Industrial,,,,,
2019,102,3,Esc.Educ.Especial Flor Del Inca,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Especial,,,,,,,
2019,103,1,Esc.Educ.Gral.Bas.Y Des.Art.Violeta Parra,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,105,8,Centro De Capacitacion Laboral,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Especial,,,,,,,
2019,106,6,Instituto Del Mar Almirante Carlos Condel,1101,Iquique,Corporación de Administración Delegada,Administración Delegada,Urbano,Funcionando,Gratuito,Gratuito,Maritima,Cientifico Humanista,Industrial,,,,,
2019,107,4,Liceo Libert. Gral.Bernardo O´Higgins,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,108,2,Liceo Politec. Jose Gutierrez De La Fuen,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Tecnica,Industrial,,,,,,
2019,109,0,Colegio Deportivo Tec. Prof. Elena Duvauchelle Cabezon,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,Tecnica,Comercial,Industrial,,,,
2019,110,4,Liceo Bicentenario Domingo Santa Maria De Iqq.,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Cientifico Humanista,,,,,,,
2019,117,1,Escuela Paula Jaraquemada Alquizar,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Especial,,,,,,,
2019,119,8,Escuela Centenario,1101,Iquique,Corporación Municipal,Municipal,Urbano,Funcionando,Gratuito,Gratuito,Especial,,,,,,,
